path,doc_code,revision,plan_kind,status,previous_status,top_dir,size_human,card_path
07 Presentado al Condado/0002_Building Permiso/Rev00/CAL/4521-CAL-AEE-75-52-0001 to 04_Rev0.pdf,4521-CAL-AEE-75-52-0001,,Cimentacion / foundation,ok,ok,07 Presentado al Condado,9.7 MB,.yeyo-memory/cards/d47fdccaf4c7a39b.json
07 Presentado al Condado/0002_Building Permiso/Rev01/CAL/4521-CAL-AEE-75-52-0001 to 0004_Rev1.pdf,4521-CAL-AEE-75-52-0001,,Cimentacion / foundation,ok,ok,07 Presentado al Condado,25 MB,.yeyo-memory/cards/6b76b1175b5ece9a.json
07 Presentado al Condado/0002_Building Permiso/Rev01/DRA/4521-PLN-AEE-75-52-0001-GAR_Rev01_S1.1 sealed.pdf,4521-PLN-AEE-75-52-0001,,Cimentacion / foundation,ok,ok,07 Presentado al Condado,887 KB,.yeyo-memory/cards/85f2cd473d69b5fe.json
07 Presentado al Condado/0002_Building Permiso/Rev01/DRA/4521-PLN-AEE-75-52-0001-GAR_Rev01_sealed.pdf,4521-PLN-AEE-75-52-0001,,Cimentacion / foundation,ok,ok,07 Presentado al Condado,3.7 MB,.yeyo-memory/cards/07090528e0e24eeb.json
07 Presentado al Condado/0002_Building Permiso/Rev01/DRA/4521-PLN-AEE-75-52-0002-GAR_Rev01_sealed.pdf,4521-PLN-AEE-75-52-0002,,Cimentacion / foundation,ok,ok,07 Presentado al Condado,1.5 MB,.yeyo-memory/cards/0699749f574d1400.json
07 Presentado al Condado/0002_Building Permiso/Rev01/DRA/4521-PLN-AEE-75-52-0006_REV01_SEALED.pdf,4521-PLN-AEE-75-52-,,Cimentacion / foundation,ok,ok,07 Presentado al Condado,2.0 MB,.yeyo-memory/cards/90c86c4ea5d33808.json
12 As Built TES 6/00_Permit Package/01 Building Permit/4521-CAL-AEE-75-52-0001 to 0004_Rev1.pdf,4521-CAL-AEE-75-52-0001,,Cimentacion / foundation,ok,ok,12 As Built TES 6,25 MB,.yeyo-memory/cards/022541634e7141b7.json
12 As Built TES 6/03_C&S/01_DRA/4521-PLN-AEE-75-52-0001-GAR_Rev01/4521-PLN-AEE-75-52-0001-GAR_Rev01.pdf,4521-PLN-AEE-75-52-0001,,Cimentacion / foundation,ok,ok,12 As Built TES 6,3.7 MB,.yeyo-memory/cards/e9ad94e9c98e8926.json
12 As Built TES 6/03_C&S/01_DRA/4521-PLN-AEE-75-52-0002_Rev02_Drain back tank pit/4521-PLN-AEE-75-52-0002_Rev02_Drain back tank pit.pdf,4521-PLN-AEE-75-52-,,Cimentacion / foundation,ok,ok,12 As Built TES 6,1.1 MB,.yeyo-memory/cards/829f3f4f8fc0e4c8.json
12 As Built TES 6/03_C&S/01_DRA/4521-PLN-AEE-75-52-0003_Rev01_Drain-back tank support/4521-PLN-AEE-75-52-0003_Rev01_Drain-back tank support.pdf,4521-PLN-AEE-75-52-,,Cimentacion / foundation,ok,ok,12 As Built TES 6,363 KB,.yeyo-memory/cards/eba27475b642c4c5.json
12 As Built TES 6/03_C&S/01_DRA/4521-PLN-AEE-75-52-0004_Rev01_Drain-back tank Platform/4521-PLN-AEE-75-52-0004_Rev01_Drain-back tank Platform.pdf,4521-PLN-AEE-75-52-,,Cimentacion / foundation,ok,ok,12 As Built TES 6,558 KB,.yeyo-memory/cards/799600bacfcf7208.json
12 As Built TES 6/03_C&S/01_DRA/4521-PLN-AEE-75-52-0006-GAR_Rev10_Exchangers_Pipe_Support_foundations/4521-PLN-AEE-75-52-0006-GAR_Rev10.pdf,4521-PLN-AEE-75-52-0006,,Cimentacion / foundation,ok,ok,12 As Built TES 6,2.6 MB,.yeyo-memory/cards/d3f337618d7a9c99.json
12 As Built TES 6/03_C&S/02_CAL/4521-CAL-AEE-75-52-0001-GAR_Rev01_exchangers_foundation/4521-CAL-AGE-75-52-0001_Rev1.pdf,4521-CAL-AGE-75-52-,,Cimentacion / foundation,ok,ok,12 As Built TES 6,3.8 MB,.yeyo-memory/cards/ec873a72aad1bfb0.json
12 As Built TES 6/03_C&S/02_CAL/4521-CAL-AEE-75-52-0004_Rev1-GAR_Drain back tank platform/4521-CAL-AEE-75-52-0004_Rev1-GAR.pdf,4521-CAL-AEE-75-52-,,Cimentacion / foundation,ok,ok,12 As Built TES 6,1.0 MB,.yeyo-memory/cards/1f7673952c75d2b6.json
Documentacion con sello PE 08/Paquete de construccion SMWP/C & S/CAL/4521-CAL-AEE-75-52-0004_Rev1-GAR.PDF,4521-CAL-AEE-75-52-,,Cimentacion / foundation,ok,ok,Documentacion con sello PE 08,1.0 MB,.yeyo-memory/cards/25161d7739603acc.json
Documentacion con sello PE 08/Paquete de construccion SMWP/C & S/DRA/4521-PLN-AEE-75-52-0001-GAR_Rev01_sealed.pdf,4521-PLN-AEE-75-52-0001,,Cimentacion / foundation,ok,ok,Documentacion con sello PE 08,3.7 MB,.yeyo-memory/cards/e4e9d7aeb6199bb1.json
Documentacion con sello PE 08/Paquete de construccion SMWP/C & S/DRA/4521-PLN-AEE-75-52-0002-GAR_Rev01_sealed.pdf,4521-PLN-AEE-75-52-0002,,Cimentacion / foundation,ok,ok,Documentacion con sello PE 08,1.5 MB,.yeyo-memory/cards/25dd167a733b773a.json
Documentacion con sello PE 08/Paquete de construccion SMWP/C & S/DRA/4521-PLN-AEE-75-52-0003-GAR_Rev00_Drain-back tank support.pdf,4521-PLN-AEE-75-52-0003,,Cimentacion / foundation,ok,ok,Documentacion con sello PE 08,353 KB,.yeyo-memory/cards/93ff2c1c1d9b6ebf.json
Documentacion con sello PE 08/Paquete de construccion SMWP/C & S/DRA/4521-PLN-AEE-75-52-0006_REV01_SEALED.PDF,4521-PLN-AEE-75-52-,,Cimentacion / foundation,ok,ok,Documentacion con sello PE 08,2.0 MB,.yeyo-memory/cards/6b065f8c211ba9e1.json
Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-ARS-75-51-0001_Rev04 On-site layout TES Detail.pdf,0328-PLN-ARS-75-51-,,Cimentacion / foundation,tagged_plan,tagged_plan,Documentos en Servidor Atlántica,571 KB,.yeyo-memory/cards/6dbde9d6ea667f13.json
Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-ARS-75-52-0001_Rev03 Pipe's distribution.pdf,0328-PLN-ARS-75-52-,,Cimentacion / foundation,tagged_plan,tagged_plan,Documentos en Servidor Atlántica,1.5 MB,.yeyo-memory/cards/3f469b7aff931fe9.json
Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-ARS-75-52-0002_Rev 04 Geometry and Sections Detail.pdf,0328-PLN-ARS-75-52-,,Cimentacion / foundation,tagged_plan,tagged_plan,Documentos en Servidor Atlántica,1.1 MB,.yeyo-memory/cards/d9a7d3612b9e9cae.json
Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-ARS-75-52-0003_Rev07 Details Detail.pdf,0328-PLN-ARS-75-52-,,Cimentacion / foundation,tagged_plan,tagged_plan,Documentos en Servidor Atlántica,1.4 MB,.yeyo-memory/cards/45124712d4f16bd8.json
Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-ARS-75-52-0004_Rev04 Details of Welding Detail.pdf,0328-PLN-ARS-75-52-,,Cimentacion / foundation,tagged_plan,tagged_plan,Documentos en Servidor Atlántica,771 KB,.yeyo-memory/cards/0a16b059c2324c8a.json
Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-ARS-75-52-0005_Rev05 Thermocouples Thermocouples.pdf,0328-PLN-ARS-75-52-,,Cimentacion / foundation,tagged_plan,tagged_plan,Documentos en Servidor Atlántica,1.1 MB,.yeyo-memory/cards/a27225bde332eb1f.json
Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-CYD-75-62-0013 Rev06 Cold salt tank.pdf,0328-PLN-CYD-75-62-0013,Rev06,Cimentacion / foundation,ok,ok,Documentos en Servidor Atlántica,5.5 MB,.yeyo-memory/cards/cf0c2affa8d3f2a2.json
Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/Hot salt tank.pdf,,,Cimentacion / foundation,ok,ok,Documentos en Servidor Atlántica,7.4 MB,.yeyo-memory/cards/ffcce27b9b28af2a.json
Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/TANQUES SALES .pdf,,,Cimentacion / foundation,ok,ok,Documentos en Servidor Atlántica,7.4 MB,.yeyo-memory/cards/9f663787071aed91.json
Planos Solana/Foundations/4521-PLN-PRT-39-52-0001.pdf,4521-PLN-PRT-39-52-0001,,Cimentacion / foundation,tagged_plan,tagged_plan,Planos Solana,713 KB,.yeyo-memory/cards/7a042af6c317979e.json
Planos Solana/Foundations/4521-PLN-PRT-39-52-0002.pdf,4521-PLN-PRT-39-52-0002,,Cimentacion / foundation,tagged_plan,tagged_plan,Planos Solana,800 KB,.yeyo-memory/cards/9edc719ffe89d812.json
Planos Solana/Foundations/4521-PLN-PRT-39-52-0003.pdf,4521-PLN-PRT-39-52-0003,,Cimentacion / foundation,tagged_plan,tagged_plan,Planos Solana,690 KB,.yeyo-memory/cards/97ed17e760e58bd3.json
Planos Solana/Foundations/4521-PLN-PRT-39-52-0004.pdf,4521-PLN-PRT-39-52-0004,,Cimentacion / foundation,tagged_plan,tagged_plan,Planos Solana,743 KB,.yeyo-memory/cards/4b91693986cfdbae.json
Planos Solana/Foundations/4521-PLN-PRT-39-52-0005.pdf,4521-PLN-PRT-39-52-0005,,Cimentacion / foundation,tagged_plan,tagged_plan,Planos Solana,790 KB,.yeyo-memory/cards/987d1040fdc39a92.json
Planos Solana/Foundations/4521-PLN-PRT-39-52-0006.pdf,4521-PLN-PRT-39-52-0006,,Cimentacion / foundation,tagged_plan,tagged_plan,Planos Solana,771 KB,.yeyo-memory/cards/ee1f5dcda7429383.json
Planos Solana/Foundations/4521-PLN-PRT-39-52-0007.pdf,4521-PLN-PRT-39-52-0007,,Cimentacion / foundation,tagged_plan,tagged_plan,Planos Solana,715 KB,.yeyo-memory/cards/14cdab51a4ab0f4d.json
Planos Solana/Foundations/4521-PLN-PRT-39-52-0008.pdf,4521-PLN-PRT-39-52-0008,,Cimentacion / foundation,tagged_plan,tagged_plan,Planos Solana,797 KB,.yeyo-memory/cards/85e039634473ec93.json
Planos Solana/Foundations/4521-PLN-PRT-39-52-0009.pdf,4521-PLN-PRT-39-52-0009,,Cimentacion / foundation,tagged_plan,tagged_plan,Planos Solana,789 KB,.yeyo-memory/cards/78f486b0f2a707cb.json
Planos Solana/Foundations/4521-PLN-PRT-39-52-0010.pdf,4521-PLN-PRT-39-52-0010,,Cimentacion / foundation,tagged_plan,tagged_plan,Planos Solana,706 KB,.yeyo-memory/cards/854a2b4b1e4481ad.json
Planos Solana/Foundations/unlocked/4521-PLN-PRT-39-52-0001_unlocked.pdf,4521-PLN-PRT-39-52-,,Cimentacion / foundation,tagged_plan,tagged_plan,Planos Solana,646 KB,.yeyo-memory/cards/506bb59d207d4587.json
Planos Solana/Foundations/unlocked/4521-PLN-PRT-39-52-0002_unlocked.pdf,4521-PLN-PRT-39-52-,,Cimentacion / foundation,tagged_plan,tagged_plan,Planos Solana,734 KB,.yeyo-memory/cards/37d5db13a6e3a66f.json
Planos Solana/Foundations/unlocked/4521-PLN-PRT-39-52-0003_unlocked.pdf,4521-PLN-PRT-39-52-,,Cimentacion / foundation,tagged_plan,tagged_plan,Planos Solana,624 KB,.yeyo-memory/cards/43a08bba83a1f3c6.json
Planos Solana/Foundations/unlocked/4521-PLN-PRT-39-52-0004_unlocked.pdf,4521-PLN-PRT-39-52-,,Cimentacion / foundation,tagged_plan,tagged_plan,Planos Solana,676 KB,.yeyo-memory/cards/89d0c2fc46c3a678.json
Planos Solana/Foundations/unlocked/4521-PLN-PRT-39-52-0005_unlocked.pdf,4521-PLN-PRT-39-52-,,Cimentacion / foundation,tagged_plan,tagged_plan,Planos Solana,723 KB,.yeyo-memory/cards/97b80582a5892960.json
Planos Solana/Foundations/unlocked/4521-PLN-PRT-39-52-0006_unlocked.pdf,4521-PLN-PRT-39-52-,,Cimentacion / foundation,tagged_plan,tagged_plan,Planos Solana,704 KB,.yeyo-memory/cards/18a9b77638015670.json
Planos Solana/Foundations/unlocked/4521-PLN-PRT-39-52-0007_unlocked.pdf,4521-PLN-PRT-39-52-,,Cimentacion / foundation,tagged_plan,tagged_plan,Planos Solana,649 KB,.yeyo-memory/cards/f03608b3e0fdb833.json
Planos Solana/Foundations/unlocked/4521-PLN-PRT-39-52-0008_unlocked.pdf,4521-PLN-PRT-39-52-,,Cimentacion / foundation,tagged_plan,tagged_plan,Planos Solana,731 KB,.yeyo-memory/cards/62fd76bd74916fe6.json
Planos Solana/Foundations/unlocked/4521-PLN-PRT-39-52-0009_unlocked.pdf,4521-PLN-PRT-39-52-,,Cimentacion / foundation,tagged_plan,tagged_plan,Planos Solana,723 KB,.yeyo-memory/cards/7f89899bea9e335e.json
Planos Solana/Foundations/unlocked/4521-PLN-PRT-39-52-0010_unlocked.pdf,4521-PLN-PRT-39-52-,,Cimentacion / foundation,tagged_plan,tagged_plan,Planos Solana,639 KB,.yeyo-memory/cards/461a90829a38531c.json
Planos Solana/Foundations/unlocked/MERGE.pdf,,,Cimentacion / foundation,tagged_plan,tagged_plan,Planos Solana,3.2 MB,.yeyo-memory/cards/b035c9eb64a5f289.json
06 Especificaciones Tecnicas/Obra tierra original Solana/4521-ESP-ANC-00-50-2300.pdf,4521-ESP-ANC-00-50-2300,,Grading / obra civil terreno,ok,ok,06 Especificaciones Tecnicas,126 KB,.yeyo-memory/cards/d3a8e0c4c7999a11.json
Documentacion con sello PE 08/Paquete de construccion SMWP/M&P/ESP/4521-ESP-ANC-00-50-2300.pdf,4521-ESP-ANC-00-50-2300,,Grading / obra civil terreno,ok,ok,Documentacion con sello PE 08,126 KB,.yeyo-memory/cards/6c0c393a29c50bcb.json
02 GD LOI/Dibujos/4521-PLN-LOI-039-063-0001-GAR_ Isometric.pdf,4521-PLN-LOI-039-063-0001,,Isometrico de tuberia HTF,ok,ok,02 GD LOI,133 KB,.yeyo-memory/cards/6ade4f01aa91f749.json
02 GD LOI/Dibujos/4521-PLN-LOI-039-063-0002-GAR Rev.02 Isometric.pdf,4521-PLN-LOI-039-063-0002,Rev.02,Isometrico de tuberia HTF,tagged_plan,tagged_plan,02 GD LOI,479 KB,.yeyo-memory/cards/afd722199a1c04af.json
02 GD LOI/Dibujos/4521-PLN-LOI-039-063-0002-GAR_ Isometric.pdf,4521-PLN-LOI-039-063-0002,,Isometrico de tuberia HTF,ok,ok,02 GD LOI,186 KB,.yeyo-memory/cards/7c6d6fdd39613ebc.json
02 GD LOI/Dibujos/4521-PLN-LOI-039-063-0003-GAR Rev.02 Isometric.pdf,4521-PLN-LOI-039-063-0003,Rev.02,Isometrico de tuberia HTF,tagged_plan,tagged_plan,02 GD LOI,202 KB,.yeyo-memory/cards/d94a5880e2cde081.json
02 GD LOI/Dibujos/4521-PLN-LOI-039-063-0003-GAR_ Isometric.pdf,4521-PLN-LOI-039-063-0003,,Isometrico de tuberia HTF,ok,ok,02 GD LOI,143 KB,.yeyo-memory/cards/773c9b0fa10667cf.json
02 GD LOI/Dibujos/4521-PLN-LOI-039-063-0004-GAR Rev.02 Isometric.pdf,4521-PLN-LOI-039-063-0004,Rev.02,Isometrico de tuberia HTF,tagged_plan,tagged_plan,02 GD LOI,226 KB,.yeyo-memory/cards/146847b1a98792a9.json
02 GD LOI/Dibujos/4521-PLN-LOI-039-063-0004-GAR_ Isometric.pdf,4521-PLN-LOI-039-063-0004,,Isometrico de tuberia HTF,ok,ok,02 GD LOI,206 KB,.yeyo-memory/cards/a47162ff5114065e.json
03 GD Fabricacion LOI TES 6/Dibujos/4521-PLN-LOI-039-062-0006-GAR_rev00 CHANNEL PARTITION.pdf,4521-PLN-LOI-039-062-0006,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,03 GD Fabricacion LOI TES 6,385 KB,.yeyo-memory/cards/4bf5c818132c3232.json
03 GD Fabricacion LOI TES 6/Isometricos tuberias/4521-PLN-LOI-039-063-0001-GAR_ Isometric.pdf,4521-PLN-LOI-039-063-0001,,Isometrico de tuberia HTF,ok,ok,03 GD Fabricacion LOI TES 6,133 KB,.yeyo-memory/cards/7c481c9c31239750.json
03 GD Fabricacion LOI TES 6/Isometricos tuberias/4521-PLN-LOI-039-063-0002-GAR Rev.02 Isometric.pdf,4521-PLN-LOI-039-063-0002,Rev.02,Isometrico de tuberia HTF,tagged_plan,tagged_plan,03 GD Fabricacion LOI TES 6,479 KB,.yeyo-memory/cards/7088bd6c34a8279a.json
03 GD Fabricacion LOI TES 6/Isometricos tuberias/4521-PLN-LOI-039-063-0003-GAR Rev.02 Isometric.pdf,4521-PLN-LOI-039-063-0003,Rev.02,Isometrico de tuberia HTF,tagged_plan,tagged_plan,03 GD Fabricacion LOI TES 6,202 KB,.yeyo-memory/cards/013681d8929ca449.json
03 GD Fabricacion LOI TES 6/Isometricos tuberias/4521-PLN-LOI-039-063-0004-GAR Rev.02 Isometric.pdf,4521-PLN-LOI-039-063-0004,Rev.02,Isometrico de tuberia HTF,tagged_plan,tagged_plan,03 GD Fabricacion LOI TES 6,226 KB,.yeyo-memory/cards/0a9d98d3a6aabbbe.json
07 Presentado al Condado/0005_Isometrics/Firmado/HTF/pdf/212-HTF-05-CS30-20_rev02_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,447 KB,.yeyo-memory/cards/583600f6d93b1fb1.json
07 Presentado al Condado/0005_Isometrics/Firmado/HTF/pdf/212-HTF-05-CS30-20_rev02_Sht_2.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,516 KB,.yeyo-memory/cards/b545391c139e4604.json
07 Presentado al Condado/0005_Isometrics/Firmado/HTF/pdf/212-HTF-06-CS30-20_rev02_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,518 KB,.yeyo-memory/cards/88e66cc7a88507d2.json
07 Presentado al Condado/0005_Isometrics/Firmado/HTF/pdf/212-HTF-06-CS30-20_rev02_Sht_2.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,511 KB,.yeyo-memory/cards/f388f941f84a101a.json
07 Presentado al Condado/0005_Isometrics/Firmado/HTF/pdf/252-HTF-12F-CS30-20_rev04_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,534 KB,.yeyo-memory/cards/ae99bb5fc093419a.json
07 Presentado al Condado/0005_Isometrics/Firmado/HTF/pdf/252-HTF-12F-CS30-20_rev04_Sht_2.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,568 KB,.yeyo-memory/cards/e1aa69af8c95e1aa.json
07 Presentado al Condado/0005_Isometrics/Firmado/HTF/pdf/252-HTF-13F-SS38-24_rev02_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,559 KB,.yeyo-memory/cards/0071bad42c8c69d7.json
07 Presentado al Condado/0005_Isometrics/Firmado/HTF/pdf/252-HTF-16F-CS30-20_rev04_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,612 KB,.yeyo-memory/cards/07f18f8f329487f9.json
07 Presentado al Condado/0005_Isometrics/Firmado/HTF/pdf/252-HTF-16F-CS30-20_rev04_Sht_2.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,573 KB,.yeyo-memory/cards/cb70742f13fa6ef6.json
07 Presentado al Condado/0005_Isometrics/Firmado/HTF/pdf/252-HTF-21F-CS30-8_rev03_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,456 KB,.yeyo-memory/cards/e919fa4d482f6210.json
07 Presentado al Condado/0005_Isometrics/Firmado/HTF/pdf/255-HTF-20F-CS30-1_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,331 KB,.yeyo-memory/cards/19d901e0abad0ed7.json
07 Presentado al Condado/0005_Isometrics/Firmado/HTF/pdf/255-HTF-21F-CS30-1_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,388 KB,.yeyo-memory/cards/84c280593ced2762.json
07 Presentado al Condado/0005_Isometrics/Firmado/HTF/pdf/255-HTF-22F-CS30-1_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,344 KB,.yeyo-memory/cards/82f53bf829747765.json
07 Presentado al Condado/0005_Isometrics/Firmado/HTF/pdf/255-HTF-23F-CS30-1_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,354 KB,.yeyo-memory/cards/61072673305c6a64.json
07 Presentado al Condado/0005_Isometrics/Firmado/MS/PDF/251-MS-01F-CS31-20_rev02_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,906 KB,.yeyo-memory/cards/a70d267fe10bfb3e.json
07 Presentado al Condado/0005_Isometrics/Firmado/MS/PDF/251-MS-01F-CS31-20_rev02_Sht_2.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,406 KB,.yeyo-memory/cards/4fa85a98ad2e2af7.json
07 Presentado al Condado/0005_Isometrics/Firmado/MS/PDF/252-MS-03F-CS31-24_Rev02_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,530 KB,.yeyo-memory/cards/40ffb13937a561f6.json
07 Presentado al Condado/0005_Isometrics/Firmado/MS/PDF/252-MS-03F-CS31-24_Rev02_Sht_2.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,508 KB,.yeyo-memory/cards/bd7218a26be50c84.json
07 Presentado al Condado/0005_Isometrics/Firmado/MS/PDF/252-MS-04F-CS31-24_Rev02_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,488 KB,.yeyo-memory/cards/8bec8c8a57d5b852.json
07 Presentado al Condado/0005_Isometrics/Firmado/MS/PDF/252-MS-04F-CS31-24_Rev02_Sht_2.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,579 KB,.yeyo-memory/cards/db99317388b57d85.json
07 Presentado al Condado/0005_Isometrics/Firmado/MS/PDF/252-MS-06F-CS31-4_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,521 KB,.yeyo-memory/cards/dd6a7dec91d179d3.json
07 Presentado al Condado/0005_Isometrics/Firmado/MS/PDF/252-MS-13E-CS31-24_rev03_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,540 KB,.yeyo-memory/cards/aacc2d05b3c9ba33.json
07 Presentado al Condado/0005_Isometrics/Firmado/MS/PDF/252-MS-13F-CS31-24_rev03_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,544 KB,.yeyo-memory/cards/fd0b21a29784d4ee.json
07 Presentado al Condado/0005_Isometrics/Firmado/MS/PDF/252-MS-14E-CS31-24_rev03_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,566 KB,.yeyo-memory/cards/982304261f762b40.json
07 Presentado al Condado/0005_Isometrics/Firmado/MS/PDF/252-MS-14F-CS31-24_rev03_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,550 KB,.yeyo-memory/cards/dc89fb33211fc9db.json
07 Presentado al Condado/0005_Isometrics/Firmado/MS/PDF/252-MS-60E-CS31-24_Rev02_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,286 KB,.yeyo-memory/cards/700fe0ae17893f2c.json
07 Presentado al Condado/0005_Isometrics/Firmado/MS/PDF/253-MS-01F-CS31-20_rev02_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,670 KB,.yeyo-memory/cards/dbc75df9ddbaf8b3.json
07 Presentado al Condado/0005_Isometrics/Firmado/MS/PDF/253-MS-01F-CS31-20_rev02_Sht_2.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,316 KB,.yeyo-memory/cards/2fa39c718e38f98f.json
07 Presentado al Condado/0005_Isometrics/Firmado/MS/PDF/253-MS-01F-CS31-20_rev02_Sht_3.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,787 KB,.yeyo-memory/cards/5355e82f9dd6f651.json
07 Presentado al Condado/0005_Isometrics/Firmado/MS/PDF/253-MS-01F-CS31-20_rev02_Sht_4.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,331 KB,.yeyo-memory/cards/f8d9787b39da1987.json
07 Presentado al Condado/0005_Isometrics/Firmado/MS/PDF/253-MS-60E-CS31-24_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,325 KB,.yeyo-memory/cards/6d298d7e13069b97.json
07 Presentado al Condado/0005_Isometrics/Firmado/MS/PDF/255-HTF-23F-CS30-1_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,197 KB,.yeyo-memory/cards/6e964247c4c153dd.json
07 Presentado al Condado/0005_Isometrics/Firmado/MS/PDF/255-MS-06F-CS31-4_Rev02_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,545 KB,.yeyo-memory/cards/7e45f98e3cf458db.json
07 Presentado al Condado/0005_Isometrics/Firmado/MS/PDF/255-MS-07F-CS31-4_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,718 KB,.yeyo-memory/cards/6566b0d33fdc0902.json
07 Presentado al Condado/0005_Isometrics/Firmado/MS/PDF/255-MS-08F-CS31-4_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,423 KB,.yeyo-memory/cards/f3772edafa412931.json
07 Presentado al Condado/0005_Isometrics/Firmado/MS/PDF/255-MS-09F-CS31-4_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,452 KB,.yeyo-memory/cards/fd26e0c80af453d7.json
07 Presentado al Condado/0005_Isometrics/Firmado/MS/PDF/255-MS-11F-CS31-3_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,518 KB,.yeyo-memory/cards/803313d0726084c1.json
07 Presentado al Condado/0005_Isometrics/Firmado/MS/PDF/255-MS-12F-CS31-3_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,459 KB,.yeyo-memory/cards/0cb0ee01656044e6.json
07 Presentado al Condado/0005_Isometrics/Firmado/MS/PDF/255-MS-13F-CS31-3_Sht_1.pdf,,,Isometrico de tuberia HTF,tagged_plan,tagged_plan,07 Presentado al Condado,461 KB,.yeyo-memory/cards/a4cfa413031a0398.json
